website,industry,geo,date,pageviews,5xx,4xx,3xx,mom_growth
runbook.com,education,US,2025-09-21,172509781,1599005,6297758,172797,0.0
runbook.com,education,US,2025-09-22,156505132,1430690,5529515,151021,0.0
runbook.com,education,US,2025-09-23,165181526,1617934,5859738,177820,0.0
runbook.com,education,US,2025-09-24,174566383,1708321,6814683,145432,0.0
runbook.com,education,US,2025-09-25,179493999,1855670,7335586,202357,0.0
runbook.com,education,US,2025-09-26,166013460,1753166,6916346,165746,0.0
runbook.com,education,US,2025-09-27,167852150,1500663,5726547,158962,0.0
runbook.com,education,US,2025-09-28,186115448,2029160,7842868,226431,0.0
runbook.com,education,US,2025-09-29,177518558,1837815,8021393,208872,0.0
runbook.com,education,US,2025-09-30,175573900,2051570,7791089,239548,0.0
runbook.com,education,US,2025-10-01,184597822,1851847,7902341,203229,0.0
runbook.com,education,US,2025-10-02,187837392,1932216,6998411,210319,0.0
runbook.com,education,US,2025-10-03,176895172,1919159,8264479,200064,0.0
runbook.com,education,US,2025-10-04,169575406,1702095,6144725,175706,0.0
runbook.com,education,US,2025-10-05,169270820,1713839,6751089,152198,0.0
runbook.com,education,US,2025-10-06,166784869,1726046,7024399,207059,0.0
runbook.com,education,US,2025-10-07,181504650,2141752,9255459,171568,0.0
runbook.com,education,US,2025-10-08,163036530,1801908,7523610,180197,0.0
runbook.com,education,US,2025-10-09,160104644,1864405,7940219,193511,0.0
runbook.com,education,US,2025-10-10,180283840,1747877,6543668,183416,0.0
runbook.com,education,US,2025-10-11,170098751,1680764,6338302,145432,0.0
runbook.com,education,US,2025-10-12,176026466,1525284,6270158,126800,0.0
runbook.com,education,US,2025-10-13,161186352,1845532,7326712,169535,0.0
runbook.com,education,US,2025-10-14,184843778,2029326,8536999,183329,0.0
runbook.com,education,US,2025-10-15,164170077,1417568,5912493,155525,0.0
runbook.com,education,US,2025-10-16,166152689,1539084,6007374,128789,0.0
runbook.com,education,US,2025-10-17,177692841,1565457,6085188,131120,0.0
runbook.com,education,US,2025-10-18,162051118,1494707,5972205,126412,0.0
runbook.com,education,US,2025-10-19,178523884,1979706,7468445,235633,0.0
runbook.com,education,US,2025-10-20,169634436,1717798,6734163,158464,0.0
runbook.com,education,US,2025-10-21,171805757,1568423,6775012,176383,-0.4081067148302739
runbook.com,education,US,2025-10-22,182635063,1564662,6207061,162556,16.695894036241572
runbook.com,education,US,2025-10-23,181082982,1655409,6212640,140775,9.626655222933344
runbook.com,education,US,2025-10-24,185680263,1926113,7755820,175053,6.3665637157642205
runbook.com,education,US,2025-10-25,206328888,2342256,9001755,232819,14.95029870051533
runbook.com,education,US,2025-10-26,191459605,1677612,7285085,147322,15.327760170771695
runbook.com,education,US,2025-10-27,186263721,1893446,7079900,185195,10.968921756438627
runbook.com,education,US,2025-10-28,189517485,2020759,8733490,220736,1.8279175837139536
runbook.com,education,US,2025-10-29,193048294,1920117,7291189,154609,8.74823239607433
runbook.com,education,US,2025-10-30,192119698,1620724,6409065,192857,9.423836914256619
runbook.com,education,US,2025-10-31,196277667,1693026,6294855,138221,6.327184618678762
runbook.com,education,US,2025-11-01,202942635,1962907,8580646,213587,8.041659245354088
